wst_meas_p_3_asr_lci, lga_name, lga_code, ovrwgt_p_3_asr_lci, hbld_pres_2_asr, lw_excse_2_asr, psych_dstrs_4_asr_uci, obese_p_4_asr_uci
60.2,"Alpine (S)",20110,34.4,22.0,71.5,12.8,37.3
60.7,"Ararat (RC)",20260,34.0,20.5,72.8,18.3,35.6
63.0,"Ballarat (C)",20570,34.9,24.0,67.4,16.8,35.0
56.4,"Banyule (C)",20660,38.0,21.5,62.0,12.1,23.5
59.6,"Bass Coast (S)",20740,34.7,17.7,66.7,16.2,33.1
62.7,"Baw Baw (S)",20830,33.9,22.6,70.1,15.1,34.6
50.1,"Bayside (C)",20910,37.8,16.6,55.2,8.5,18.7
59.2,"Benalla (RC)",21010,34.2,22.3,70.3,16.3,34.2
48.5,"Boroondara (C)",21110,38.1,19.3,54.6,8.3,15.4
57.3,"Brimbank (C)",21180,36.9,29.2,72.8,17.6,28.1
58.7,"Buloke (S)",21270,33.2,19.3,74.8,14.7,36.8
62.5,"Campaspe (S)",21370,34.3,20.6,72.4,16.7,34.6
60.6,"Cardinia (S)",21450,38.0,22.5,66.6,16.5,33.7
60.7,"Casey (C)",21610,38.0,25.0,69.7,16.2,32.8
59.7,"Central Goldfields (S)",21670,33.5,23.9,71.6,22.0,39.8
62.1,"Colac-Otway (S)",21750,34.3,24.6,72.4,15.0,33.7
63.7,"Corangamite (S)",21830,34.9,21.3,75.2,13.9,36.3
57.0,"Darebin (C)",21890,37.3,28.4,65.7,15.1,24.9
60.0,"East Gippsland (S)",22110,34.3,18.5,68.5,13.2,35.8
59.4,"Frankston (C)",22170,37.3,24.0,66.5,17.0,31.8
60.8,"Gannawarra (S)",22250,33.8,19.3,74.8,13.5,35.8
52.9,"Glen Eira (C)",22310,37.6,22.2,58.5,11.5,19.8
60.7,"Glenelg (S)",22410,35.0,33.7,73.5,14.4,34.9
61.3,"Golden Plains (S)",22490,34.9,23.6,69.8,15.3,38.0
62.5,"Greater Bendigo (C)",22620,34.8,21.6,68.3,16.2,35.3
55.8,"Greater Dandenong (C)",22670,36.2,29.5,73.4,18.8,27.4
