lga_name, lga_code11, adult_population_2015
"Ballarat (C)","20570",78204
"Banyule (C)","20660",100229
"Bass Coast (S)","20740",25936
"Baw Baw (S)","20830",36007
"Bayside (C)","20910",78116
"Benalla (RC)","21010",10758
"Boroondara (C)","21110",139647
"Alpine (S)","20110",9604
"Ararat (RC)","20260",8879
"Brimbank (C)","21180",155474
"Buloke (S)","21270",4768
"Campaspe (S)","21370",28293
"Cardinia (S)","21450",65746
"Casey (C)","21610",215008
"Central Goldfields (S)","21670",10173
"Colac-Otway (S)","21750",15866
"Corangamite (S)","21830",12058
"Darebin (C)","21890",122823
"East Gippsland (S)","22110",35042
"Frankston (C)","22170",106008
"Gannawarra (S)","22250",7811
"Greater Shepparton (C)","22830",47832
"Hepburn (S)","22910",12073
"Hindmarsh (S)","22980",4310
"Hobsons Bay (C)","23110",73598
"Horsham (RC)","23190",15209
"Hume (C)","23270",142650
"Indigo (S)","23350",11965
"Kingston (C)","23430",122931
"Knox (C)","23670",123684
"Latrobe (C)","23810",56745
"Loddon (S)","23940",5872
"Macedon Ranges (S)","24130",34521
"Manningham (C)","24210",96945
"Mansfield (S)","24250",6382
"Maribyrnong (C)","24330",67387
"Maroondah (C)","24410",87620
"Melbourne (C)","24600",117220
"Melton (S)","24650",93911
"Mildura (RC)","24780",40149
"Mitchell (S)","24850",29324
"Moira (S)","24900",22380
"Monash (C)","24970",151842
"Moonee Valley (C)","25060",95266
"Moorabool (S)","25150",23922
"Moreland (C)","25250",135774
"Mornington Peninsula (S)","25340",122383
"Mount Alexander (S)","25430",14819
"Moyne (S)","25490",12317
"Murrindindi (S)","25620",10930
"Nillumbik (S)","25710",48202
"Northern Grampians (S)","25810",9303
"Port Phillip (C)","25900",92732
"Pyrenees (S)","25990",5610
"Queenscliffe (B)","26080",2534
"South Gippsland (S)","26170",21830
"Southern Grampians (S)","26260",12249
"Stonnington (C)","26350",93307
"Strathbogie (S)","26430",8063
"Surf Coast (S)","26490",21656
"Swan Hill (RC)","26610",15465
"Towong (S)","26670",4567
"Wangaratta (RC)","26700",21137
"Warrnambool (C)","26730",25790
"Wellington (S)","26810",32660
"West Wimmera (S)","26890",3108
"Whitehorse (C)","26980",132872
"Whittlesea (C)","27070",145693
"Wodonga (RC)","27170",28813
"Wyndham (C)","27260",149897
"Yarra (C)","27350",76823
"Yarra Ranges (S)","27450",116182
"Yarriambiack (S)","27630",5384
"Greater Bendigo (C)","22620",83265
"Greater Dandenong (C)","22670",119563
"Greater Geelong (C)","22750",178508
"Glen Eira (C)","22310",115814
"Glenelg (S)","22410",15015
"Golden Plains (S)","22490",15366
